GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IDATT1002Project,no.ntnu.idatt1002.app.gui,EditProjectController,945,0,46,0,196,0,39,0,16,0
IDATT1002Project,no.ntnu.idatt1002.app.gui,AllProjectsController,172,0,2,0,46,0,6,0,5,0
IDATT1002Project,no.ntnu.idatt1002.app.gui,ViewProjectController,352,0,12,0,69,0,13,0,7,0
IDATT1002Project,no.ntnu.idatt1002.app.gui,NewProjectController,751,0,42,0,156,0,36,0,15,0
IDATT1002Project,no.ntnu.idatt1002.app.filehandling,FileHandling,3,47,0,0,1,13,1,3,1,3
IDATT1002Project,no.ntnu.idatt1002.app.data,Budgeting,6,93,4,4,2,20,4,10,0,10
IDATT1002Project,no.ntnu.idatt1002.app.data,Expense,27,154,11,25,9,38,11,17,1,9
IDATT1002Project,no.ntnu.idatt1002.app.data,User,16,80,0,16,3,21,2,13,2,5
IDATT1002Project,no.ntnu.idatt1002.app.data,Project,64,133,11,17,6,32,12,15,2,11
IDATT1002Project,no.ntnu.idatt1002.app.data,ProjectRegistry,21,52,1,1,2,15,2,6,1,6
IDATT1002Project,no.ntnu.idatt1002.app.data,Income,27,154,11,25,9,38,11,17,1,9
IDATT1002Project,no.ntnu.idatt1002.app.data,Accounting,6,93,4,4,2,20,4,10,0,10
IDATT1002Project,no.ntnu.idatt1002.app,Main,6,0,0,0,3,0,2,0,2,0
IDATT1002Project,no.ntnu.idatt1002.app,BudgetAndAccountingApp,161,0,0,0,37,0,5,0,5,0
